Category,PermitNum,PermitClass,DateIssued,ProjectType,ResidentialType
Building & Trades Permits,RB-24-542,Simple Residential Building Permit,2024-04-26 13:13:00,New Construction,Single-Family
Building & Trades Permits,RB-24-553,Simple Residential Building Permit,2024-04-26 11:46:00,New Construction,Single-Family
Building & Trades Permits,RB-24-549,Simple Residential Building Permit,2024-04-25 19:18:00,New Construction,Single-Family
Building & Trades Permits,RB-24-529,Simple Residential Building Permit,2024-04-24 19:24:00,New Construction,Single-Family
Building & Trades Permits,RB-24-516,Simple Residential Building Permit,2024-04-24 17:54:00,New Construction,Single-Family
Building & Trades Permits,RB-24-444,Simple Residential Building Permit,2024-04-24 17:11:00,New Construction,Single-Family
Building & Trades Permits,RB-24-452,Simple Residential Building Permit,2024-04-24 15:35:00,New Construction,Single-Family
Building & Trades Permits,RB-24-451,Simple Residential Building Permit,2024-04-24 15:29:00,New Construction,Single-Family
Building & Trades Permits,RB-24-551,Simple Residential Building Permit,2024-04-24 14:50:00,New Construction,Single-Family
Building & Trades Permits,RB-24-450,Simple Residential Building Permit,2024-04-24 14:40:00,New Construction,Single-Family
Building & Trades Permits,RB-24-550,Simple Residential Building Permit,2024-04-24 14:24:00,New Construction,Single-Family
Building & Trades Permits,RB-24-532,Simple Residential Building Permit,2024-04-22 19:56:00,New Construction,Single-Family
Building & Trades Permits,RB-24-350,Simple Residential Building Permit,2024-04-19 20:05:00,New Construction,Single-Family
Building & Trades Permits,RB-24-514,Simple Residential Building Permit,2024-04-19 15:27:00,New Construction,Single-Family
Building & Trades Permits,RB-24-522,Simple Residential Building Permit,2024-04-18 14:11:00,New Construction,Single-Family
Building & Trades Permits,RB-24-471,Simple Residential Building Permit,2024-04-17 14:54:00,New Construction,Single-Family
Building & Trades Permits,RB-24-520,Simple Residential Building Permit,2024-04-16 19:45:00,New Construction,Single-Family
Building & Trades Permits,RB-24-418,Simple Residential Building Permit,2024-04-16 17:04:00,New Construction,Single-Family
Building & Trades Permits,RB-24-366,Simple Residential Building Permit,2024-04-12 17:02:00,New Construction,Single-Family
Building & Trades Permits,RB-24-472,Simple Residential Building Permit,2024-04-11 18:49:00,New Construction,Single-Family
Building & Trades Permits,RB-24-455,Simple Residential Building Permit,2024-04-11 17:45:00,New Construction,Single-Family
Building & Trades Permits,RB-24-447,Simple Residential Building Permit,2024-04-11 16:34:00,New Construction,Single-Family
Building & Trades Permits,RB-24-464,Simple Residential Building Permit,2024-04-11 16:30:00,New Construction,Single-Family
Building & Trades Permits,RB-24-460,Simple Residential Building Permit,2024-04-11 13:44:00,New Construction,Single-Family
Building & Trades Permits,RB-24-443,Simple Residential Building Permit,2024-04-10 19:44:00,New Construction,Single-Family
Building & Trades Permits,RB-24-348,Simple Residential Building Permit,2024-04-10 13:16:00,New Construction,Single-Family
Building & Trades Permits,RB-24-468,Simple Residential Building Permit,2024-04-09 19:59:00,New Construction,Single-Family
Building & Trades Permits,RB-24-407,Simple Residential Building Permit,2024-04-09 17:11:00,New Construction,Single-Family
Building & Trades Permits,RB-24-442,Simple Residential Building Permit,2024-04-09 14:39:00,New Construction,Single-Family
Building & Trades Permits,RB-24-436,Simple Residential Building Permit,2024-04-09 13:19:00,New Construction,Single-Family
Building & Trades Permits,RB-24-440,Simple Residential Building Permit,2024-04-08 19:40:00,New Construction,Single-Family
Building & Trades Permits,RB-24-429,Simple Residential Building Permit,2024-04-03 20:52:00,New Construction,Single-Family
Building & Trades Permits,RB-24-365,Simple Residential Building Permit,2024-04-03 19:18:00,New Construction,Single-Family
Building & Trades Permits,RB-24-130,Simple Residential Building Permit,2024-04-02 15:46:00,New Construction,Duplex
Building & Trades Permits,RB-24-129,Simple Residential Building Permit,2024-04-01 19:29:00,New Construction,Duplex
Building & Trades Permits,RB-24-415,Simple Residential Building Permit,2024-03-27 19:07:00,New Construction,Single-Family
Building & Trades Permits,RB-24-412,Simple Residential Building Permit,2024-03-27 17:59:00,New Construction,Single-Family
Building & Trades Permits,RB-24-97,Simple Residential Building Permit,2024-03-26 19:41:00,New Construction,Single-Family
Building & Trades Permits,RB-24-335,Simple Residential Building Permit,2024-03-26 19:39:00,New Construction,Single-Family
Building & Trades Permits,RB-24-363,Simple Residential Building Permit,2024-03-26 18:06:00,New Construction,Single-Family
Building & Trades Permits,RB-24-361,Simple Residential Building Permit,2024-03-26 15:15:00,New Construction,Single-Family
Building & Trades Permits,RB-24-377,Simple Residential Building Permit,2024-03-22 19:51:00,New Construction,Single-Family
Building & Trades Permits,B-22-2056,Commercial Building Permit,2024-03-22 19:07:00,Residential,Residential Single Family
Building & Trades Permits,RB-24-368,Simple Residential Building Permit,2024-03-22 18:59:00,New Construction,Single-Family
Building & Trades Permits,RB-24-256,Simple Residential Building Permit,2024-03-22 18:36:00,New Construction,Single-Family
Building & Trades Permits,RB-24-398,Simple Residential Building Permit,2024-03-22 18:29:00,New Construction,Single-Family
Building & Trades Permits,RB-24-392,Simple Residential Building Permit,2024-03-21 17:51:00,New Construction,Single-Family
Building & Trades Permits,RB-24-397,Simple Residential Building Permit,2024-03-21 17:22:00,New Construction,Single-Family
Building & Trades Permits,RB-24-323,Simple Residential Building Permit,2024-03-20 12:30:00,New Construction,Duplex
Building & Trades Permits,RB-24-254,Simple Residential Building Permit,2024-03-20 12:28:00,New Construction,Duplex
Building & Trades Permits,RB-24-257,Simple Residential Building Permit,2024-03-19 21:17:00,New Construction,Single-Family
Building & Trades Permits,RB-24-367,Simple Residential Building Permit,2024-03-18 21:23:00,New Construction,Single-Family
Building & Trades Permits,RB-24-347,Simple Residential Building Permit,2024-03-18 15:19:00,New Construction,Single-Family
Building & Trades Permits,RB-24-369,Simple Residential Building Permit,2024-03-18 15:00:00,New Construction,Single-Family
Building & Trades Permits,RB-24-295,Simple Residential Building Permit,2024-03-18 13:34:00,New Construction,Single-Family
Building & Trades Permits,RB-24-305,Simple Residential Building Permit,2024-03-15 16:15:00,New Construction,Single-Family
Building & Trades Permits,RB-24-359,Simple Residential Building Permit,2024-03-15 14:58:00,New Construction,Single-Family
Building & Trades Permits,RB-24-357,Simple Residential Building Permit,2024-03-14 15:52:00,New Construction,Single-Family
Building & Trades Permits,RB-24-342,Simple Residential Building Permit,2024-03-14 13:30:00,New Construction,Single-Family
Building & Trades Permits,RB-24-81,Simple Residential Building Permit,2024-03-13 16:08:00,New Construction,Single-Family
Building & Trades Permits,RB-24-40,Simple Residential Building Permit,2024-03-13 16:06:00,New Construction,Single-Family
Building & Trades Permits,RB-24-236,Simple Residential Building Permit,2024-03-12 11:48:00,New Construction,Single-Family
Building & Trades Permits,RB-24-263,Simple Residential Building Permit,2024-03-08 20:13:00,New Construction,Single-Family
Building & Trades Permits,RB-24-297,Simple Residential Building Permit,2024-03-08 15:01:00,New Construction,Single-Family
Building & Trades Permits,RB-23-558,Simple Residential Building Permit,2024-03-06 21:27:00,New Construction,Single-Family
Building & Trades Permits,RB-24-281,Simple Residential Building Permit,2024-03-05 12:36:00,New Construction,Duplex
Building & Trades Permits,RB-24-245,Simple Residential Building Permit,2024-03-05 12:33:00,New Construction,Duplex
Building & Trades Permits,RB-24-244,Simple Residential Building Permit,2024-03-02 12:23:00,New Construction,Single-Family
Building & Trades Permits,RB-24-248,Simple Residential Building Permit,2024-03-01 13:52:00,New Construction,Single-Family
Building & Trades Permits,RB-24-264,Simple Residential Building Permit,2024-03-01 13:29:00,New Construction,Single-Family
Building & Trades Permits,RB-24-294,Simple Residential Building Permit,2024-02-29 17:10:00,New Construction,Single-Family
Building & Trades Permits,RB-24-270,Simple Residential Building Permit,2024-02-29 15:27:00,New Construction,Single-Family
Building & Trades Permits,RB-24-246,Simple Residential Building Permit,2024-02-28 17:23:00,New Construction,Single-Family
Building & Trades Permits,RB-24-235,Simple Residential Building Permit,2024-02-28 17:21:00,New Construction,Single-Family
Building & Trades Permits,RB-24-277,Simple Residential Building Permit,2024-02-27 18:46:00,New Construction,Single-Family
Building & Trades Permits,RB-24-275,Simple Residential Building Permit,2024-02-27 15:23:00,New Construction,Single-Family
Building & Trades Permits,RB-24-213,Simple Residential Building Permit,2024-02-26 19:15:00,New Construction,Single-Family
Building & Trades Permits,RB-24-229,Simple Residential Building Permit,2024-02-26 19:14:00,New Construction,Single-Family
Building & Trades Permits,RB-24-25,Simple Residential Building Permit,2024-02-23 17:58:00,New Construction,Single-Family
Building & Trades Permits,RB-24-261,Simple Residential Building Permit,2024-02-23 17:51:00,New Construction,Single-Family
Building & Trades Permits,RB-24-215,Simple Residential Building Permit,2024-02-23 16:42:00,New Construction,Single-Family
Building & Trades Permits,RB-24-259,Simple Residential Building Permit,2024-02-23 15:06:00,New Construction,Single-Family
Building & Trades Permits,RB-24-260,Simple Residential Building Permit,2024-02-23 15:03:00,New Construction,Single-Family
Building & Trades Permits,RB-24-253,Simple Residential Building Permit,2024-02-22 14:54:00,New Construction,Single-Family
Building & Trades Permits,RB-24-124,Simple Residential Building Permit,2024-02-22 13:12:00,New Construction,Single-Family
Building & Trades Permits,RB-24-214,Simple Residential Building Permit,2024-02-21 20:08:00,New Construction,Single-Family
Building & Trades Permits,RB-24-249,Simple Residential Building Permit,2024-02-20 20:22:00,New Construction,Single-Family
Building & Trades Permits,RB-24-163,Simple Residential Building Permit,2024-02-20 17:30:00,New Construction,Single-Family
